mm39	mm39 gene type	hg38	hg38 gene type	orthology type
ENSMUSG00000092620.2	other	ENSG00000268107.6	pc	many-to-many
ENSMUSG00000035585.17	pc	ENSG00000170892.13	pc	one-to-many
ENSMUSG00002076802.1	ncRNA	ENSG00000199477.1	ncRNA	many-to-many
ENSMUSG00000079657.11	pc	ENSG00000131653.14	pc	many-to-many
ENSMUSG00000111562.2	other	ENSG00000236992.2	other	one-to-many
ENSMUSG00000042251.13	pc	ENSG00000162877.13	pc	many-to-many
ENSMUSG00000067399.11	pc	ENSG00000254617.1	other	many-to-many
ENSMUSG00000132652.1	lncRNA	ENSG00000278922.1	lncRNA	one-to-one
ENSMUSG00000021048.8	pc	ENSG00000100714.18	pc	one-to-many
ENSMUSG00000114940.2	other	ENSG00000271662.1	other	many-to-many
ENSMUSG00000103410.2	lncRNA	ENSG00000234767.3	lncRNA	one-to-one
ENSMUSG00000084059.2	other	ENSG00000232423.6	pc	one-to-many
ENSMUSG00000008789.11	pc	ENSG00000231412.4	lncRNA	many-to-many
ENSMUSG00000080951.2	other	ENSG00000215871.2	other	many-to-many
ENSMUSG00000074227.13	pc	ENSG00000167642.13	pc	many-to-many
ENSMUSG00000136918.1	lncRNA	ENSG00000247081.9	lncRNA	one-to-many
ENSMUSG00000116648.2	other	ENSG00000286360.2	lncRNA	many-to-many
ENSMUSG00000114759.2	other	ENSG00000230228.2	other	many-to-many
ENSMUSG00000041117.10	pc	ENSG00000169515.9	pc	one-to-one
ENSMUSG00000021866.16	pc	ENSG00000122359.18	pc	one-to-one
ENSMUSG00000081873.2	other	ENSG00000249799.1	other	many-to-many
ENSMUSG00000094491.3	other	ENSG00000253592.1	other	many-to-many
ENSMUSG00000070436.13	pc	ENSG00000229207.1	other	one-to-many
ENSMUSG00000020460.16	pc	ENSG00000143947.15	pc	one-to-one
ENSMUSG00000051906.16	pc	ENSG00000090659.18	pc	many-to-many
ENSMUSG00000086054.4	lncRNA	ENSG00000241388.7	lncRNA	one-to-many
ENSMUSG00000075189.6	pc	ENSG00000230213.1	other	one-to-one
ENSMUSG00000024421.17	pc	ENSG00000053747.17	pc	one-to-one
ENSMUSG00000103125.2	pc	ENSG00000242419.6	pc	many-to-many
ENSMUSG00000044533.16	pc	ENSG00000202517.1	ncRNA	many-to-many
ENSMUSG00000083255.2	other	ENSG00000293320.1	lncRNA	many-to-many
ENSMUSG00000113632.2	other	ENSG00000115756.13	pc	one-to-many
ENSMUSG00000032115.15	pc	ENSG00000149428.21	pc	one-to-one
ENSMUSG00000038412.9	pc	ENSG00000258104.1	other	many-to-many
ENSMUSG00000092539.5	lncRNA	ENSG00000309012.1	lncRNA	one-to-one
ENSMUSG00000117819.2	pc	ENSG00000213588.6	pc	many-to-many
ENSMUSG00000102410.2	lncRNA	ENSG00000258066.2	lncRNA	one-to-one
ENSMUSG00000022012.10	pc	ENSG00000287842.1	lncRNA	one-to-many
ENSMUSG00000085639.3	lncRNA	ENSG00000238121.8	lncRNA	many-to-many
ENSMUSG00000038630.9	pc	ENSG00000149054.16	pc	many-to-many
ENSMUSG00000082001.4	other	ENSG00000225573.4	other	one-to-many
ENSMUSG00000018909.16	pc	ENSG00000279117.1	lncRNA	one-to-many
ENSMUSG00000121754.2	lncRNA	ENSG00000268140.1	other	one-to-many
ENSMUSG00000023944.15	pc	ENSG00000096384.20	pc	many-to-many
ENSMUSG00000034902.18	pc	ENSG00000186111.11	pc	one-to-one
ENSMUSG00000026029.15	pc	ENSG00000003400.16	pc	many-to-many
ENSMUSG00000107697.2	other	ENSG00000120314.19	pc	one-to-many
ENSMUSG00000053217.4	pc	ENSG00000212126.3	pc	many-to-many
ENSMUSG00000069307.8	pc	ENSG00000233822.6	pc	one-to-many
ENSMUSG00000040177.11	pc	ENSG00000293310.2	lncRNA	one-to-many
ENSMUSG00000080283.3	other	ENSG00000086300.17	pc	one-to-many
ENSMUSG00000069044.7	pc	ENSG00000227494.2	other	many-to-many
ENSMUSG00000026603.14	pc	ENSG00000143499.14	pc	one-to-one
ENSMUSG00000001833.18	pc	ENSG00000290989.2	lncRNA	many-to-many
ENSMUSG00000095419.2	other	ENSG00000236044.1	other	many-to-many
ENSMUSG00000113875.3	lncRNA	ENSG00000309656.1	lncRNA	one-to-many
ENSMUSG00000041062.8	pc	ENSG00000162006.10	pc	one-to-many
ENSMUSG00000138223.1	lncRNA	ENSG00000226860.1	other	many-to-many
ENSMUSG00000073945.3	pc	ENSG00000176748.6	other	one-to-many
ENSMUSG00000110714.2	other	ENSG00000228695.12	other	many-to-many
ENSMUSG00000011306.8	pc	ENSG00000105705.16	pc	one-to-one
ENSMUSG00000067722.5	pc	ENSG00000174109.5	pc	one-to-one
ENSMUSG00000017713.10	pc	ENSG00000279886.1	lncRNA	one-to-many
ENSMUSG00000062878.4	pc	ENSG00000239395.2	pc	many-to-many
ENSMUSG00000112121.4	lncRNA	ENSG00000231312.9	lncRNA	one-to-many
ENSMUSG00000081663.2	other	ENSG00000108826.16	pc	one-to-many
ENSMUSG00000125900.1	lncRNA	ENSG00000248859.3	lncRNA	one-to-many
ENSMUSG00000029280.14	pc	ENSG00000109208.5	pc	one-to-many
ENSMUSG00000111819.2	other	ENSG00000107890.17	pc	one-to-many
ENSMUSG00000076633.9	other	ENSG00000253587.2	other	many-to-many
ENSMUSG00000090981.8	pc	ENSG00000272595.3	other	one-to-many
ENSMUSG00000020044.14	pc	ENSG00000100234.12	pc	one-to-one
ENSMUSG00000097162.5	lncRNA	ENSG00000309910.1	lncRNA	one-to-one
ENSMUSG00000040383.17	pc	ENSG00000021776.11	pc	one-to-many
ENSMUSG00000050608.12	pc	ENSG00000270136.6	pc	many-to-many
ENSMUSG00000002546.18	pc	ENSG00000259551.2	lncRNA	many-to-many
ENSMUSG00000019539.12	pc	ENSG00000142552.8	pc	one-to-one
ENSMUSG00000041926.16	pc	ENSG00000176393.11	pc	one-to-one
ENSMUSG00000127403.1	lncRNA	ENSG00000275457.2	lncRNA	one-to-one
ENSMUSG00000075110.3	pc	ENSG00000181939.3	pc	one-to-many
ENSMUSG00000036908.18	pc	ENSG00000290888.2	lncRNA	many-to-many
ENSMUSG00000077625.3	ncRNA	ENSG00000213122.4	other	many-to-many
ENSMUSG00000005621.12	pc	ENSG00000166716.10	pc	one-to-many
ENSMUSG00000130513.1	lncRNA	ENSG00000226891.10	lncRNA	one-to-many
ENSMUSG00000046636.6	other	ENSG00000255733.7	lncRNA	many-to-many
ENSMUSG00000115507.2	pc	ENSG00000299244.1	lncRNA	many-to-many
ENSMUSG00000135539.1	lncRNA	ENSG00000267532.7	lncRNA	one-to-many
ENSMUSG00000001827.13	pc	ENSG00000110195.14	pc	one-to-many
ENSMUSG00000033809.16	pc	ENSG00000214160.10	pc	one-to-many
ENSMUSG00000023972.11	pc	ENSG00000112655.16	pc	one-to-one
ENSMUSG00000082534.2	other	ENSG00000215441.3	other	many-to-many
ENSMUSG00000044061.9	pc	ENSG00000169224.13	pc	one-to-many
ENSMUSG00000094468.7	other	ENSG00000211793.2	other	one-to-many
ENSMUSG00002075670.1	ncRNA	ENSG00000258562.2	other	many-to-many
ENSMUSG00000004655.6	pc	ENSG00000240583.14	pc	many-to-many
ENSMUSG00000025993.11	pc	ENSG00000138449.11	pc	many-to-many
ENSMUSG00000080321.3	other	ENSG00000173275.13	pc	one-to-many
ENSMUSG00000081176.2	other	ENSG00000220730.2	other	many-to-many
ENSMUSG00000042092.6	pc	ENSG00000197084.6	pc	one-to-one
ENSMUSG00000058093.14	pc	ENSG00000213976.4	other	many-to-many
ENSMUSG00000085401.3	other	ENSG00000285779.1	pc	many-to-many
ENSMUSG00000106965.2	other	ENSG00000232801.1	other	many-to-many
ENSMUSG00000125353.1	lncRNA	ENSG00000309231.1	lncRNA	many-to-many
ENSMUSG00000090176.2	pc	ENSG00000206531.12	pc	many-to-many
ENSMUSG00002075410.1	ncRNA	ENSG00000293264.2	lncRNA	many-to-many
ENSMUSG00000105968.2	other	ENSG00000251546.1	other	one-to-many
ENSMUSG00000031575.19	pc	ENSG00000237428.1	other	many-to-many
ENSMUSG00000095159.3	other	ENSG00000231166.2	other	many-to-many
ENSMUSG00000109297.3	lncRNA	ENSG00000261156.7	lncRNA	one-to-one
ENSMUSG00000025557.11	pc	ENSG00000088386.17	pc	one-to-one
ENSMUSG00000026994.10	pc	ENSG00000115339.15	pc	one-to-many
ENSMUSG00000016257.16	pc	ENSG00000250711.1	other	many-to-many
ENSMUSG00000056487.9	pc	ENSG00000289695.1	pc	many-to-many
ENSMUSG00000028681.12	pc	ENSG00000117425.15	pc	one-to-one
ENSMUSG00000103690.3	lncRNA	ENSG00000228208.8	lncRNA	one-to-one
ENSMUSG00000044712.16	pc	ENSG00000139974.17	pc	many-to-many
ENSMUSG00000121240.2	lncRNA	ENSG00000289016.2	lncRNA	one-to-many
ENSMUSG00000068328.11	pc	ENSG00000115307.17	pc	one-to-one
ENSMUSG00000066750.4	pc	ENSG00000254937.1	other	many-to-many
ENSMUSG00000039178.10	pc	ENSG00000109680.11	pc	one-to-one
ENSMUSG00000105281.2	other	ENSG00000110169.12	pc	one-to-many
ENSMUSG00000000732.10	pc	ENSG00000277117.6	other	one-to-many
ENSMUSG00000032855.7	pc	ENSG00000244257.5	other	one-to-many
ENSMUSG00000083227.2	other	ENSG00000167105.8	pc	many-to-many
ENSMUSG00000026405.15	pc	ENSG00000232621.1	other	many-to-many
ENSMUSG00000137124.1	lncRNA	ENSG00000260393.1	lncRNA	one-to-one
ENSMUSG00000102206.6	pc	ENSG00000243232.6	pc	many-to-many
ENSMUSG00000090027.2	other	ENSG00000260914.3	pc	many-to-many
ENSMUSG00000053774.10	pc	ENSG00000163960.13	pc	one-to-one
ENSMUSG00000109654.3	other	ENSG00000105136.22	pc	many-to-many
ENSMUSG00000030681.19	pc	ENSG00000280789.2	pc	many-to-many
ENSMUSG00000037727.7	pc	ENSG00000101200.5	pc	one-to-one
ENSMUSG00000125480.1	lncRNA	ENSG00000231226.2	lncRNA	one-to-one
ENSMUSG00000084790.3	lncRNA	ENSG00000263235.1	lncRNA	many-to-many
ENSMUSG00000115737.3	other	ENSG00000224415.1	other	one-to-many
ENSMUSG00000026880.12	pc	ENSG00000148175.13	pc	one-to-one
ENSMUSG00000035569.18	pc	ENSG00000234429.1	other	many-to-many
ENSMUSG00000106388.2	other	ENSG00000291200.2	lncRNA	one-to-many
ENSMUSG00000103125.2	pc	ENSG00000253873.6	pc	many-to-many
ENSMUSG00000115491.2	other	ENSG00000196470.12	pc	one-to-many
ENSMUSG00000078922.10	pc	ENSG00000124449.7	pc	one-to-many
ENSMUSG00000041775.8	pc	ENSG00000168175.16	pc	one-to-many
ENSMUSG00000113558.2	pc	ENSG00000284730.2	pc	one-to-one
ENSMUSG00000053110.14	pc	ENSG00000137693.14	pc	one-to-many
ENSMUSG00000105388.2	other	ENSG00000224685.1	other	many-to-many
ENSMUSG00000066366.15	pc	ENSG00000197249.14	pc	one-to-many
ENSMUSG00000114313.2	other	ENSG00000128602.11	pc	one-to-many
ENSMUSG00000133541.1	lncRNA	ENSG00000082805.21	pc	one-to-many
ENSMUSG00002075811.1	ncRNA	ENSG00000200418.1	ncRNA	many-to-many
ENSMUSG00000023088.18	pc	ENSG00000243064.11	other	many-to-many
ENSMUSG00000118592.2	other	ENSG00000151208.17	pc	one-to-many
ENSMUSG00000030125.12	pc	ENSG00000010626.15	pc	one-to-one
ENSMUSG00000020191.12	pc	ENSG00000287521.1	lncRNA	one-to-many
ENSMUSG00000109310.2	other	ENSG00000112339.15	pc	one-to-many
ENSMUSG00000077678.3	ncRNA	ENSG00000281808.1	ncRNA	many-to-many
ENSMUSG00000065360.3	ncRNA	ENSG00000206799.1	ncRNA	many-to-many
ENSMUSG00000039230.15	pc	ENSG00000141556.22	pc	one-to-one
ENSMUSG00000111012.2	other	ENSG00000168938.6	pc	one-to-many
ENSMUSG00000118462.2	pc	ENSG00000283251.2	other	many-to-many
ENSMUSG00000064949.3	ncRNA	ENSG00000278274.1	ncRNA	many-to-many
ENSMUSG00000064493.3	ncRNA	ENSG00000215319.2	other	many-to-many
ENSMUSG00000095721.2	pc	ENSG00000187766.1	pc	one-to-many
ENSMUSG00000024055.16	pc	ENSG00000290970.2	lncRNA	many-to-many
ENSMUSG00000077708.3	ncRNA	ENSG00000212589.1	ncRNA	one-to-many
ENSMUSG00000024052.18	pc	ENSG00000101577.11	pc	one-to-one
ENSMUSG00000029233.16	pc	ENSG00000288695.1	pc	one-to-many
ENSMUSG00000002546.18	pc	ENSG00000239533.7	other	many-to-many
ENSMUSG00000081043.2	other	ENSG00000233026.1	other	one-to-many
ENSMUSG00000100045.2	pc	ENSG00000139351.15	pc	one-to-many
ENSMUSG00000030990.19	pc	ENSG00000271527.1	other	many-to-many
ENSMUSG00000048425.4	pc	ENSG00000234895.1	other	one-to-one
ENSMUSG00000054115.13	pc	ENSG00000239227.1	other	many-to-many
ENSMUSG00000108990.2	other	ENSG00000304468.1	lncRNA	many-to-many
ENSMUSG00000049744.16	pc	ENSG00000075884.14	pc	one-to-one
ENSMUSG00000121365.1	lncRNA	ENSG00000185177.14	pc	many-to-many
ENSMUSG00000004626.15	pc	ENSG00000268400.6	pc	many-to-many
ENSMUSG00000076831.4	other	ENSG00000211797.2	other	one-to-many
ENSMUSG00000040441.13	pc	ENSG00000287908.1	pc	many-to-many
ENSMUSG00000071591.5	lncRNA	ENSG00000102780.17	pc	many-to-many
ENSMUSG00000039521.14	pc	ENSG00000290184.1	pc	many-to-many
ENSMUSG00000118828.1	ncRNA	ENSG00000201679.1	ncRNA	one-to-many
ENSMUSG00000065105.3	ncRNA	ENSG00000206910.1	ncRNA	many-to-many
ENSMUSG00000043263.14	pc	ENSG00000163564.15	pc	many-to-many
ENSMUSG00000009281.7	pc	ENSG00000296849.1	lncRNA	one-to-many
ENSMUSG00000030168.14	pc	ENSG00000006831.10	pc	one-to-one
ENSMUSG00000036932.15	pc	ENSG00000156709.15	pc	one-to-many
ENSMUSG00000117515.2	other	ENSG00000270702.1	other	many-to-many
ENSMUSG00000105506.3	other	ENSG00000218776.4	other	many-to-many
ENSMUSG00000084374.2	other	ENSG00000219470.1	other	one-to-many
ENSMUSG00000125615.1	lncRNA	ENSG00000299225.1	lncRNA	one-to-one
ENSMUSG00000107692.2	other	ENSG00000002726.21	pc	one-to-many
ENSMUSG00000114616.3	lncRNA	ENSG00000135945.10	pc	one-to-many
ENSMUSG00000063556.6	other	ENSG00000234851.4	other	many-to-many
ENSMUSG00000102206.6	pc	ENSG00000249158.7	pc	many-to-many
ENSMUSG00000097642.2	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000014959.13	pc	ENSG00000115806.13	pc	one-to-one
ENSMUSG00000089014.3	ncRNA	ENSG00000206948.1	ncRNA	many-to-many
ENSMUSG00000062093.7	other	ENSG00000237176.4	other	many-to-many
ENSMUSG00000088009.3	ncRNA	ENSG00000212461.1	ncRNA	one-to-many
ENSMUSG00000101685.2	other	ENSG00000206885.1	ncRNA	many-to-many
ENSMUSG00000082458.2	other	ENSG00000094804.12	pc	one-to-many
ENSMUSG00000053093.17	pc	ENSG00000092054.14	pc	many-to-many
ENSMUSG00000026596.14	pc	ENSG00000143322.22	pc	one-to-one
ENSMUSG00000035834.12	pc	ENSG00000268295.1	other	one-to-many
ENSMUSG00000031665.8	pc	ENSG00000227391.1	other	one-to-many
ENSMUSG00000067161.7	other	ENSG00000232203.3	other	many-to-many
ENSMUSG00000133387.1	lncRNA	ENSG00000308142.1	lncRNA	one-to-one
ENSMUSG00000024054.15	pc	ENSG00000101596.17	pc	one-to-many
ENSMUSG00000063556.6	other	ENSG00000293315.2	lncRNA	many-to-many
ENSMUSG00000077196.3	ncRNA	ENSG00000212589.1	ncRNA	one-to-many
ENSMUSG00000064768.3	ncRNA	ENSG00000206630.1	ncRNA	many-to-many
ENSMUSG00000102613.2	other	ENSG00000147059.9	pc	one-to-many
ENSMUSG00000033533.15	pc	ENSG00000198064.15	pc	many-to-many
ENSMUSG00000071893.8	pc	ENSG00000226465.6	lncRNA	many-to-many
ENSMUSG00000000308.15	pc	ENSG00000223572.10	pc	many-to-many
ENSMUSG00000038276.13	pc	ENSG00000213199.8	pc	one-to-one
ENSMUSG00000098950.8	pc	ENSG00000244462.8	pc	many-to-many
ENSMUSG00000032572.10	pc	ENSG00000290932.2	lncRNA	many-to-many
ENSMUSG00000143177.1	lncRNA	ENSG00000273988.1	other	many-to-many
ENSMUSG00000020359.14	pc	ENSG00000175309.15	pc	one-to-one
ENSMUSG00002075795.1	ncRNA	ENSG00000275877.1	ncRNA	one-to-many
ENSMUSG00000079941.3	pc	ENSG00000226024.1	other	many-to-many
ENSMUSG00000030091.18	pc	ENSG00000225275.4	other	one-to-many
ENSMUSG00000081047.3	other	ENSG00000241356.2	pc	many-to-many
ENSMUSG00000005973.7	pc	ENSG00000215477.2	other	many-to-many
ENSMUSG00000097537.5	lncRNA	ENSG00000263307.3	lncRNA	one-to-one
ENSMUSG00000060128.6	other	ENSG00000132967.11	other	many-to-many
ENSMUSG00000110644.2	other	ENSG00000259493.2	other	one-to-many
ENSMUSG00000142613.1	lncRNA	ENSG00000187791.13	pc	many-to-many
ENSMUSG00000024653.3	pc	ENSG00000149021.7	pc	one-to-one
ENSMUSG00000112196.2	other	ENSG00000224085.3	other	many-to-many
ENSMUSG00000082915.2	other	ENSG00000224578.5	pc	one-to-many
ENSMUSG00000103993.2	other	ENSG00000239470.3	other	one-to-many
ENSMUSG00000011884.14	pc	ENSG00000139433.11	pc	one-to-many
ENSMUSG00000115983.2	other	ENSG00000185479.6	pc	one-to-many
ENSMUSG00000032911.7	pc	ENSG00000291211.2	lncRNA	many-to-many
ENSMUSG00000119913.1	ncRNA	ENSG00000261069.3	lncRNA	many-to-many
ENSMUSG00000086427.10	lncRNA	ENSG00000240990.10	lncRNA	many-to-many
ENSMUSG00000088147.3	ncRNA	ENSG00000233016.10	lncRNA	many-to-many
ENSMUSG00000034435.7	pc	ENSG00000182107.7	pc	one-to-many
ENSMUSG00000052331.15	pc	ENSG00000065413.20	pc	one-to-one
ENSMUSG00000084152.2	other	ENSG00000241352.3	other	many-to-many
ENSMUSG00000027744.5	pc	ENSG00000133115.12	pc	one-to-one
ENSMUSG00000025485.14	pc	ENSG00000177963.15	pc	many-to-many
ENSMUSG00000078439.10	pc	ENSG00000095932.7	pc	one-to-one
ENSMUSG00000121699.1	lncRNA	ENSG00000232562.1	other	many-to-many
ENSMUSG00000029338.14	pc	ENSG00000163297.18	pc	one-to-one
ENSMUSG00000024588.11	pc	ENSG00000066926.13	pc	one-to-many
ENSMUSG00000083446.2	other	ENSG00000232333.1	other	many-to-many
ENSMUSG00000068270.16	pc	ENSG00000158352.18	pc	one-to-one
ENSMUSG00000079014.5	pc	ENSG00000273259.3	pc	many-to-many
ENSMUSG00000083225.2	other	ENSG00000206147.5	other	one-to-many
ENSMUSG00000113636.2	other	ENSG00000048392.13	pc	one-to-many
ENSMUSG00000105661.2	other	ENSG00000160868.16	pc	one-to-many
ENSMUSG00000109236.2	other	ENSG00000239223.3	other	one-to-many
ENSMUSG00000031162.15	pc	ENSG00000176410.8	pc	many-to-many
ENSMUSG00000029381.17	pc	ENSG00000138771.16	pc	one-to-many
ENSMUSG00000026825.18	pc	ENSG00000278603.1	other	many-to-many
ENSMUSG00000092570.9	lncRNA	ENSG00000247381.3	lncRNA	one-to-many
ENSMUSG00000103604.2	other	ENSG00000254045.1	other	one-to-many
ENSMUSG00000098181.2	other	ENSG00000227615.1	other	many-to-many
ENSMUSG00000103542.2	other	ENSG00000107890.17	pc	many-to-many
ENSMUSG00000030225.12	pc	ENSG00000023697.13	pc	one-to-one
ENSMUSG00000103677.2	pc	ENSG00000081853.15	pc	many-to-many
ENSMUSG00000022146.13	pc	ENSG00000145623.13	pc	one-to-one
ENSMUSG00000024121.14	pc	ENSG00000259784.1	pc	many-to-many
ENSMUSG00000114725.3	pc	ENSG00000147059.9	pc	one-to-many
ENSMUSG00000124449.1	lncRNA	ENSG00000204929.14	lncRNA	one-to-many
ENSMUSG00000100690.2	other	ENSG00000102409.10	pc	one-to-many
ENSMUSG00000050936.7	lncRNA	ENSG00000203814.7	pc	many-to-many
ENSMUSG00000048216.14	pc	ENSG00000164604.14	pc	one-to-one
ENSMUSG00000098187.2	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000087380.10	lncRNA	ENSG00000128585.18	pc	one-to-many
ENSMUSG00000096761.2	pc	ENSG00000275210.1	lncRNA	many-to-many
ENSMUSG00000044039.5	pc	ENSG00000290822.1	lncRNA	many-to-many
ENSMUSG00000143883.1	lncRNA	ENSG00000285331.2	lncRNA	many-to-many
ENSMUSG00000076335.3	ncRNA	ENSG00000211568.1	ncRNA	one-to-many
ENSMUSG00000028677.20	pc	ENSG00000187147.19	pc	one-to-one
ENSMUSG00000082238.2	other	ENSG00000239344.1	other	many-to-many
ENSMUSG00000012017.5	pc	ENSG00000277971.1	pc	many-to-many
ENSMUSG00000118260.2	other	ENSG00000227201.2	other	many-to-many
ENSMUSG00000085114.2	pc	ENSG00000293662.1	pc	many-to-many
ENSMUSG00000094940.2	other	ENSG00000280655.1	other	many-to-many
ENSMUSG00000062542.12	pc	ENSG00000170743.17	pc	one-to-one
ENSMUSG00000050390.13	pc	ENSG00000162522.11	pc	one-to-one
ENSMUSG00000054405.15	pc	ENSG00000126698.11	pc	one-to-one
ENSMUSG00000126438.1	lncRNA	ENSG00000240298.3	other	many-to-many
ENSMUSG00000051392.6	pc	ENSG00000226653.3	other	one-to-many
ENSMUSG00000066441.15	pc	ENSG00000072042.13	pc	many-to-many
ENSMUSG00000097451.13	lncRNA	ENSG00000202142.1	ncRNA	many-to-many
ENSMUSG00000032564.17	pc	ENSG00000196353.13	pc	one-to-many
ENSMUSG00000132718.1	lncRNA	ENSG00000284747.1	lncRNA	one-to-one
ENSMUSG00000104044.2	lncRNA	ENSG00000266900.1	lncRNA	many-to-many
ENSMUSG00000070531.5	pc	ENSG00000249139.2	pc	many-to-many
ENSMUSG00000021403.4	pc	ENSG00000230438.10	lncRNA	many-to-many
ENSMUSG00000115058.2	other	ENSG00000240776.1	other	one-to-many
ENSMUSG00000107770.2	other	ENSG00000115652.15	pc	one-to-many
ENSMUSG00000017670.17	pc	ENSG00000290335.1	lncRNA	many-to-many
ENSMUSG00000034171.14	pc	ENSG00000117480.16	pc	one-to-many
ENSMUSG00000065853.3	ncRNA	ENSG00000212615.1	ncRNA	many-to-many
ENSMUSG00000057691.9	pc	ENSG00000133624.15	other	many-to-many
ENSMUSG00002076288.1	ncRNA	ENSG00000221491.2	ncRNA	many-to-many
ENSMUSG00000063870.13	pc	ENSG00000285238.2	pc	many-to-many
ENSMUSG00000038170.16	pc	ENSG00000299329.1	lncRNA	many-to-many
ENSMUSG00000112001.2	other	ENSG00000234851.4	other	one-to-many
ENSMUSG00000049229.6	pc	ENSG00000170923.4	pc	one-to-many
ENSMUSG00000130597.1	lncRNA	ENSG00000289740.2	lncRNA	one-to-many
ENSMUSG00000102976.7	pc	ENSG00000288644.1	pc	many-to-many
ENSMUSG00000034259.9	pc	ENSG00000290230.1	pc	many-to-many
ENSMUSG00000044018.4	pc	ENSG00000271681.1	other	many-to-many
ENSMUSG00000046337.19	pc	ENSG00000168754.15	pc	one-to-one
ENSMUSG00000084111.5	other	ENSG00000240370.7	other	many-to-many
ENSMUSG00000114902.2	other	ENSG00000227890.1	other	one-to-many
ENSMUSG00000092251.4	other	ENSG00000211786.3	other	one-to-many
ENSMUSG00000112051.2	other	ENSG00000234851.4	other	many-to-many
ENSMUSG00000100385.2	other	ENSG00000147059.9	pc	one-to-many
ENSMUSG00000090623.4	other	ENSG00000134365.15	pc	many-to-many
ENSMUSG00000010760.6	pc	ENSG00000181649.9	pc	one-to-one
ENSMUSG00000062905.3	pc	ENSG00000297322.1	lncRNA	many-to-many
ENSMUSG00000020741.18	pc	ENSG00000231417.2	other	many-to-many
ENSMUSG00000024807.19	pc	ENSG00000162298.19	pc	one-to-many
ENSMUSG00000030612.7	pc	ENSG00000259494.2	pc	many-to-many
ENSMUSG00000038848.15	pc	ENSG00000277881.1	other	one-to-many
ENSMUSG00000121233.2	lncRNA	ENSG00000298529.1	lncRNA	one-to-many
ENSMUSG00000032299.11	pc	ENSG00000290665.2	lncRNA	many-to-many
ENSMUSG00000089675.2	pc	ENSG00000241119.2	pc	many-to-many
ENSMUSG00000077506.3	ncRNA	ENSG00000254911.3	lncRNA	many-to-many
ENSMUSG00000079038.4	pc	ENSG00000254811.6	other	many-to-many
ENSMUSG00000092710.3	ncRNA	ENSG00000207268.1	ncRNA	many-to-many
ENSMUSG00000042258.14	pc	ENSG00000016082.15	pc	one-to-one
ENSMUSG00000081071.2	other	ENSG00000235238.1	other	many-to-many
ENSMUSG00000103472.2	pc	ENSG00000253910.3	pc	many-to-many
ENSMUSG00000117545.4	lncRNA	ENSG00000234690.8	lncRNA	one-to-many
ENSMUSG00000026202.14	pc	ENSG00000243910.9	pc	many-to-many
ENSMUSG00000076500.3	other	ENSG00000241294.1	other	many-to-many
ENSMUSG00000080054.4	other	ENSG00000230180.1	other	many-to-many
ENSMUSG00000038845.12	pc	ENSG00000167085.14	pc	one-to-one
ENSMUSG00000022770.18	pc	ENSG00000075711.21	pc	one-to-one
ENSMUSG00000040564.15	pc	ENSG00000280087.1	lncRNA	many-to-many
ENSMUSG00000087657.9	lncRNA	ENSG00000271434.3	lncRNA	one-to-one
ENSMUSG00000112116.2	other	ENSG00000228834.1	other	many-to-many
ENSMUSG00000027865.11	pc	ENSG00000196505.11	pc	one-to-many
ENSMUSG00000118082.2	other	ENSG00000110395.8	pc	one-to-many
ENSMUSG00000043190.15	pc	ENSG00000231650.1	other	one-to-many
ENSMUSG00000098269.3	ncRNA	ENSG00000198563.14	pc	many-to-many
ENSMUSG00000028940.3	pc	ENSG00000069812.11	pc	one-to-many
ENSMUSG00000053720.5	pc	ENSG00000226348.1	other	one-to-many
ENSMUSG00000143212.1	lncRNA	ENSG00000305025.1	lncRNA	one-to-one
ENSMUSG00000040481.18	pc	ENSG00000264300.2	other	many-to-many
ENSMUSG00000027534.17	pc	ENSG00000104497.15	pc	one-to-one
ENSMUSG00000043279.10	pc	ENSG00000169871.13	pc	one-to-one
ENSMUSG00000111375.6	pc	ENSG00000189195.15	pc	one-to-many
ENSMUSG00000026433.14	pc	ENSG00000117280.13	pc	one-to-one
ENSMUSG00000069044.7	pc	ENSG00000237023.1	other	many-to-many
ENSMUSG00000098762.3	ncRNA	ENSG00000111642.16	pc	one-to-many
ENSMUSG00000037953.8	pc	ENSG00000286396.1	other	one-to-many
ENSMUSG00000017428.17	pc	ENSG00000108671.11	pc	one-to-many
ENSMUSG00000071000.4	pc	ENSG00000236110.1	other	many-to-many
ENSMUSG00000037531.9	pc	ENSG00000136522.14	pc	one-to-many
ENSMUSG00000095105.3	pc	ENSG00000244457.2	other	many-to-many
ENSMUSG00000073233.5	other	ENSG00000233880.1	other	one-to-many
ENSMUSG00000036249.17	pc	ENSG00000184898.7	pc	one-to-many
ENSMUSG00000022425.17	pc	ENSG00000136960.13	pc	one-to-one
ENSMUSG00000021901.11	pc	ENSG00000163930.10	pc	one-to-one
ENSMUSG00000096688.2	pc	ENSG00000237906.1	other	many-to-many
ENSMUSG00000067038.7	other	ENSG00000227615.1	other	many-to-many
ENSMUSG00000018169.13	pc	ENSG00000100060.18	pc	one-to-one
ENSMUSG00000032769.6	pc	ENSG00000250979.1	other	one-to-many
ENSMUSG00000125005.1	lncRNA	ENSG00000223834.6	lncRNA	one-to-one
